Geo_Code,Region,Province,Province - Postal,Latitude,Longitude,English and French, English only,French only,Neither English nor French,Average number of children at home per census family,Average number of persons in private households,Average number of persons per census family,Census-family households,Number of census family persons,Population in 2011,Total Private dwellings occupied by usual residents,Total children in census families in private households,Total couple families by family structure and number of children,Total number of census families in private households: note 7,Total number of census families in private households: note 8,Total number of persons aged 65 years and over in private households,Total number of persons in private households,Total private dwellings
L9V,Orangeville North,Ontario,ON,43.9597,-80.1079,55,835,0,5,1.6,3.7,3.5,235,860,899,245,390,230,245,245,65,895,250
L9W,Orangeville South,Ontario,ON,43.9729,-80.1044,2105,34360,10,70,1.2,2.8,3.1,10215,32200,36808,13010,12825,8820,10555,10560,4155,36320,13472
L9Y,Collingwood,Ontario,ON,44.4834,-80.2164,1270,20000,10,35,0.9,2.2,2.7,6205,17170,21691,9390,5645,5225,6300,6300,4575,21060,14013
L9Z,Wasaga Beach,Ontario,ON,44.5168,-80.0164,940,16460,15,70,0.7,2.3,2.6,5670,14955,17513,7565,3990,5165,5800,5795,5070,17380,11634
M1B,Scarborough (Malvern / Rouge River),Ontario,ON,43.8113,-79.193,3000,61410,80,2480,1.5,3.3,3.3,16455,59355,67251,20045,27465,13635,18255,18255,6920,66950,20881
M1C,Scarborough (Rouge Hill / Port Union / Highland Creek),Ontario,ON,43.7878,-79.1564,2145,32605,15,530,1.3,3.2,3.1,9715,32285,35601,11152,13050,8850,10380,10380,4895,35275,11410
M1E,Scarborough (Guildwood / Morningside / Ellesmere),Ontario,ON,43.7678,-79.1866,2690,42065,85,865,1.3,2.7,3,12085,38500,46398,16877,16485,9245,12770,12770,6980,45635,17543
M1G,Scarborough (Woburn),Ontario,ON,43.7712,-79.2144,1400,27375,50,1310,1.4,3,3.2,7560,25830,30243,10092,11455,6210,8165,8160,4195,30040,10548
M1H,Scarborough (Cedarbrae),Ontario,ON,43.7686,-79.2389,1085,21440,5,1145,1.2,2.8,3,6190,19685,23706,8540,7825,5195,6665,6665,3150,23510,8949
M1J,Scarborough (Eglinton),Ontario,ON,43.7464,-79.2323,1990,32385,120,1455,1.4,2.9,3.1,9220,30610,36163,12320,13905,6920,9785,9780,4195,35830,12970
M1K,Scarborough (Kennedy Park / Ionview / East Birchmount Park),Ontario,ON,43.7298,-79.2639,2185,42855,70,2030,1.3,2.7,3,12175,38625,47286,17692,16255,9375,12995,12995,6390,47120,18458
M1L,Scarborough (The Golden Mile / Clairlea / Oakridge / Birchmount Park East),Ontario,ON,43.7122,-79.2843,1825,28930,50,1395,1.3,2.7,3.1,8245,26585,32981,12002,11190,6740,8650,8650,3140,32160,12423
M1M,Scarborough (Cliffside / Cliffcrest / Scarborough Village West),Ontario,ON,43.7247,-79.2312,1585,20790,20,470,1.2,2.6,3,5995,18840,22919,8611,7645,4930,6265,6265,3425,22405,8896
M1N,Scarborough (Birch Cliff / Cliffside West),Ontario,ON,43.6952,-79.2646,1735,19020,20,310,1.1,2.3,2.9,5720,16760,21505,9032,6345,4535,5880,5880,2835,20965,9446
M1P,Scarborough (Dorset Park / Wexford Heights / Scarborough Town Centre),Ontario,ON,43.7612,-79.2707,1810,37760,35,2580,1.2,2.7,3,10985,35150,43305,15613,14240,9225,11680,11685,5730,42185,16675
M1R,Scarborough (Wexford / Maryvale),Ontario,ON,43.7507,-79.3003,1695,26030,25,1015,1.2,2.7,3,7545,23890,28943,10636,9780,6100,8010,8010,4595,28665,11203
M1S,Scarborough (Agincourt),Ontario,ON,43.7946,-79.2644,1565,28425,15,6170,1.2,3.2,3,9360,31335,36505,11414,12425,8470,10440,10435,5990,35985,12498
M1T,Scarborough (Clarks Corners / Tam O'Shanter / Sullivan),Ontario,ON,43.7812,-79.3036,1750,28695,45,3625,1.2,2.7,3,9020,28420,34364,12536,11315,7475,9625,9630,6415,33985,12841
M1V,Scarborough (Milliken / Agincourt North / Steeles East / L'Amoreaux East),Ontario,ON,43.8177,-79.2819,1985,41780,35,12210,1.2,3.4,3.1,14010,48975,56313,16193,20010,12910,16050,16055,7920,55825,16510
M1W,Scarborough (Steeles West / L'Amoreaux West),Ontario,ON,43.8016,-79.3216,2450,40265,45,6595,1.2,3,3,13040,42700,49590,16076,17000,11470,14225,14225,8475,48920,16378
M1X,Scarborough (Upper Rouge),Ontario,ON,43.834,-79.2069,635,13310,5,790,1.6,4.2,3.5,3320,13595,14744,3531,6360,3315,3915,3915,1080,14740,3574
M2H,North York (Hillcrest Village),Ontario,ON,43.8015,-79.3577,1735,21440,25,1940,1.1,2.8,2.9,6975,21850,25331,8802,8395,6045,7410,7410,4765,25065,9061
M2J,North York (Fairview / Henry Farm / Oriole),Ontario,ON,43.7801,-79.3479,3970,46525,55,3355,1.2,2.8,3,14585,45565,54104,19488,17715,12520,15330,15330,8205,53680,20503
M2K,North York (Bayview Village),Ontario,ON,43.7797,-79.3813,1930,16970,20,810,1,2.3,2.8,5495,15860,19897,8353,5425,4770,5665,5670,3370,19505,8797
M2L,North York (York Mills / Silver Hills),Ontario,ON,43.7547,-79.3764,1870,9735,20,355,1.3,3,3.1,3305,10715,12025,4034,4330,2935,3445,3450,1905,11930,4201
M2M,Willowdale East (Newtonbrook),Ontario,ON,43.7915,-79.4103,2155,27990,30,2155,1,2.6,2.9,8725,26340,32696,12399,9580,7610,9150,9150,5555,32225,13015
M2N,Willowdale South,Ontario,ON,43.7673,-79.4111,5710,57280,60,3880,1,2.3,2.8,17795,51305,67114,29619,17515,15415,18375,18375,8625,66745,32185
M2P,North York (York Mills West),Ontario,ON,43.75,-79.3978,1120,6525,0,165,1.2,2.6,3.1,2145,6700,7813,3007,2595,1910,2195,2195,1140,7800,3166
M2R,Willowdale West,Ontario,ON,43.7786,-79.445,2655,33985,35,2550,1.1,2.6,2.9,10660,31975,39583,15215,12075,8715,11190,11190,6975,39165,15545
M3A,North York (York Heights / Victoria Village / Parkway East),Ontario,ON,43.7545,-79.33,3400,29860,110,1015,1.2,2.6,3,9445,29135,34435,13086,12045,7300,9795,9795,4835,34370,13540
M3B,Don Mills North,Ontario,ON,43.745,-79.359,1595,11495,5,375,1.2,2.7,3,3725,11680,13499,5076,4445,3380,3855,3855,2920,13470,5241
M3C,Don Mills South (Flemingdon Park),Ontario,ON,43.7334,-79.3329,2765,33100,55,1995,1.2,2.4,3,9730,30170,38289,15625,12110,7925,10135,10135,5810,37900,16050
M3H,North York (Armour Heights / Wilson Heights / Downsview North),Ontario,ON,43.7535,-79.4472,2415,30680,35,1150,1.2,2.6,3,8925,27930,34535,13161,11125,7540,9260,9265,5245,34260,13785
M3J,North York (Northwood Park / York University),Ontario,ON,43.7694,-79.4921,1240,22325,35,1480,1.2,2.6,3,5935,18860,25356,9484,7865,4635,6360,6360,3110,24920,10810
M3K,Downsview East (CFB Toronto),Ontario,ON,43.739,-79.4692,225,5140,10,495,1.2,2.7,2.9,1575,4910,5889,2181,1935,1295,1680,1675,1160,5865,2307
M3L,Downsview West,Ontario,ON,43.7334,-79.5116,550,15895,25,1470,1.4,2.9,3,4455,14820,18000,6194,6650,3280,4895,4895,2965,17925,6564
M3M,Downsview Central,Ontario,ON,43.7319,-79.4928,860,21245,25,1570,1.2,2.6,2.9,6215,19250,23727,9183,7940,4730,6580,6580,3500,23680,9620
M3N,North York (Jane and Finch),Ontario,ON,43.7568,-79.521,1130,37900,70,3255,1.6,3.1,3.2,10410,35755,42762,13748,17735,6700,11315,11320,4725,42345,14558
M4A,North York (Sweeney Park / Wigmore Park),Ontario,ON,43.7276,-79.3148,930,12310,30,560,1.1,2.3,2.9,3620,10805,14150,6058,4220,2810,3770,3775,2560,13830,6223
M4B,East York (Parkview Hill / Woodbine Gardens),Ontario,ON,43.7063,-79.3094,1395,16560,30,440,1.1,2.4,2.9,4870,14600,18453,7555,5770,3800,5035,5030,2455,18280,7820
M4C,East York (Woodbine Heights),Ontario,ON,43.6913,-79.3116,4270,39270,70,1790,1.1,2.3,2.9,11915,35340,45822,19319,13415,9635,12295,12290,5165,45365,20005
M4E,East Toronto (The Beaches),Ontario,ON,43.6784,-79.2941,3890,20320,25,170,1.1,2.3,2.9,6620,19395,24598,10767,7225,5470,6705,6700,2515,24355,11346
M4G,East York (Leaside),Ontario,ON,43.7124,-79.3644,2755,15165,5,75,1.2,2.4,3.1,4840,14915,18030,7397,5885,4170,4860,4855,2450,17875,7616
M4H,East York (Thorncliffe Park),Ontario,ON,43.7059,-79.3464,785,16215,20,1385,1.6,2.9,3.5,4270,15525,18478,6346,7320,3720,4485,4485,1805,18355,6457
M4J,East Toronto (The Danforth East),Ontario,ON,43.6872,-79.3368,4075,29370,35,1600,1.1,2.4,2.9,9250,27700,35146,14719,10440,7695,9570,9565,4830,35040,15232
M4K,East Toronto (The Danforth West / Riverdale),Ontario,ON,43.6803,-79.3538,5100,25040,15,1110,1,2.1,2.8,7970,22855,31624,14577,8050,6655,8145,8145,4080,31205,15058
M4L,East Toronto (India Bazaar / The Beaches West),Ontario,ON,43.6693,-79.3155,4065,25995,40,1230,1,2.3,2.8,8220,23990,31544,13716,8850,6675,8465,8465,2965,31150,14420
M4M,East Toronto (Studio District),Ontario,ON,43.6561,-79.3406,2645,16610,25,2710,1,2.3,2.8,5385,15590,23135,9459,5550,4375,5665,5665,2040,21640,9969
M4N,Central Toronto (Lawrence Park East),Ontario,ON,43.7301,-79.3935,2770,11935,15,90,1.2,2.4,3.1,3980,12365,15194,6037,4725,3625,4010,4010,2615,14785,6377
M4P,Central Toronto (Davisville North),Ontario,ON,43.7135,-79.3887,2960,15875,40,310,0.7,1.7,2.6,4275,11000,19185,11435,3105,3580,4310,4310,2425,19175,12028
M4R,Central Toronto (North Toronto West),Ontario,ON,43.7143,-79.4065,2140,8845,5,65,1.1,2.2,3,2815,8560,11048,4958,3245,2480,2835,2835,1275,11040,5230
M4S,Central Toronto (Davisville),Ontario,ON,43.702,-79.3853,3900,21225,25,280,0.8,1.8,2.7,6090,16440,25627,13591,5100,5205,6135,6135,2925,25045,14039
M4T,Central Toronto (Moore Park / Summerhill East),Ontario,ON,43.6899,-79.3853,2015,7990,5,35,0.9,2,2.8,2485,7005,10094,5074,2300,2210,2495,2495,1935,9965,5293
M4V,Central Toronto (Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park),Ontario,ON,43.6861,-79.4025,3455,13740,0,70,0.7,1.8,2.6,4175,10895,17271,9430,2955,3735,4200,4200,3320,16960,10096
M4W,Downtown Toronto (Rosedale),Ontario,ON,43.6827,-79.373,2840,11035,5,80,0.8,1.9,2.7,3425,9335,14022,7109,2785,3095,3460,3460,2675,13635,7645
M4X,Downtown Toronto (St. James Town / Cabbagetown),Ontario,ON,43.6684,-79.3689,2095,17145,45,775,1,2,2.8,4345,12305,20387,10111,4445,3420,4440,4440,1880,19830,10689
M4Y,Downtown Toronto (Church and Wellesley),Ontario,ON,43.6656,-79.383,4545,21010,30,345,0.4,1.5,2.3,4870,11160,26207,17237,1955,4310,4895,4895,2340,25825,18779
M5A,Downtown Toronto (Regent Park / Port of Toronto),Ontario,ON,43.6555,-79.3626,4565,27515,95,1240,1,1.8,2.7,6975,19430,34649,18172,7105,5205,7120,7120,2910,32730,19382
M5B,Downtown Toronto (Ryerson),Ontario,ON,43.6572,-79.3783,1665,9045,15,315,0.6,1.6,2.4,2025,4925,11352,6549,1210,1665,2045,2045,1035,10665,7425
M5C,Downtown Toronto (St. James Park),Ontario,ON,43.6513,-79.3756,455,2335,5,25,0.5,1.6,2.4,625,1490,2974,1738,335,525,635,635,160,2805,1866
M5E,Downtown Toronto (Berczy Park),Ontario,ON,43.648,-79.3816,950,5380,5,90,0.5,1.6,2.3,1490,3495,6436,3982,705,1290,1505,1500,860,6420,4280
M5G,Downtown Toronto (Central Bay Street),Ontario,ON,43.6564,-79.386,840,5820,10,300,0.7,1.7,2.5,1365,3490,7001,4055,965,1155,1370,1375,345,6905,4788
M5H,Downtown Toronto (Richmond / Adelaide / King),Ontario,ON,43.6496,-79.3833,175,835,0,15,0.3,1.4,2.3,175,400,1027,720,60,165,180,180,45,1025,1103
M5J,Downtown Toronto (Harbourfront East / Union Station / Toronto Island),Ontario,ON,43.6329,-79.3611,1590,8705,15,150,0.4,1.7,2.3,2580,6055,10454,6316,1145,2315,2605,2600,1135,10430,7137
M5K,Downtown Toronto (Toronto Dominion Centre / Design Exchange),Ontario,ON,43.6469,-79.3823,,,,,,,,,,5,2,,,,,,,2
M5L,Downtown Toronto (Commerce Court / Victoria Hotel),Ontario,ON,43.6492,-79.3823,,,,,,,,,,5,1,,,,,,,1
M5M,North York (Bedford Park / Lawrence Park West / Lawrence Manor East),Ontario,ON,43.7335,-79.4177,3470,22130,15,215,1.3,2.7,3.2,6870,22220,25852,9536,9235,6050,6940,6940,3275,25745,9941
M5N,Central Toronto (Roselawn),Ontario,ON,43.7113,-79.4195,2385,13805,15,145,1.3,2.5,3.2,4060,13150,16349,6450,5500,3545,4100,4105,1955,16195,6811
M5P,Central Toronto (Forest Hill North & West),Ontario,ON,43.6966,-79.412,3030,14950,15,120,1,2.1,2.8,4585,13155,18343,8611,4470,4070,4620,4615,3055,18110,9181
M5R,Central Toronto (The Annex / North Midtown / Yorkville),Ontario,ON,43.6736,-79.4035,5005,18955,35,245,0.7,1.7,2.5,5215,13305,25056,13570,3460,4575,5265,5265,3620,23635,14907
M5S,Downtown Toronto (University of Toronto / Harbord),Ontario,ON,43.6629,-79.3987,2290,10440,5,460,0.6,1.8,2.5,2490,6270,13690,6719,1595,2145,2530,2535,1655,12220,7622
M5T,Downtown Toronto (Kensington Market / Chinatown / Grange Park),Ontario,ON,43.6541,-79.3978,1915,13235,15,3165,1,2.1,2.7,3390,9890,18705,8680,3580,2670,3640,3640,2430,18210,9335
M5V,Downtown Toronto (CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / YTZ),Ontario,ON,43.6404,-79.3995,4950,24930,10,530,0.4,1.6,2.3,6390,14770,30669,19335,2565,5755,6445,6450,1120,30325,22424
M5W,Downtown Toronto Stn A PO Boxes 25 The Esplanade (Enclave of M5E),Ontario,ON,43.6437,-79.3787,,,,,,,,,,5,1,,,,,,,1
M5X,Downtown Toronto (Underground city),Ontario,ON,43.6492,-79.3823,,,,,,,,,,5,2,,,,,,,2
M6A,North York (Lawrence Manor / Lawrence Heights),Ontario,ON,43.7223,-79.4504,1095,17210,15,605,1.5,2.5,3.1,4510,14645,19754,7495,6845,3090,4705,4705,2840,18770,7881
M6B,North York (Glencairn),Ontario,ON,43.7081,-79.4479,2040,25255,20,1490,1.3,2.6,3.1,7155,22820,29236,11055,9415,5955,7450,7450,4530,28395,11530
M6C,York (Cedarvale),Ontario,ON,43.6915,-79.4307,2910,20595,30,660,1.1,2.3,2.9,6125,18250,24256,10317,6870,5085,6290,6290,3070,23965,10870
M6E,York (Fairbank / Oakwood),Ontario,ON,43.6889,-79.4507,2175,32175,40,3380,1.2,2.6,2.9,9805,30245,37920,14340,11965,7880,10400,10395,5440,37565,15295
M6G,Downtown Toronto (Christie),Ontario,ON,43.6683,-79.4205,4935,24210,40,1960,1,2.3,2.8,7455,21590,32075,13229,7555,6250,7790,7785,4340,30765,14311
M6H,West Toronto (Dufferin / Dovercourt Village),Ontario,ON,43.6655,-79.4378,4865,33990,60,3665,1,2.4,2.8,10435,31015,42856,17735,11135,8835,11040,11040,5210,42495,19383
M6J,West Toronto (Rua Aþores / Trinity),Ontario,ON,43.648,-79.4177,3760,20905,25,3515,0.9,2.2,2.7,6570,18745,28949,12660,6030,5720,6995,6995,3635,28145,13535
M6K,West Toronto (Brockton / Parkdale Village / Exhibition Place),Ontario,ON,43.6383,-79.4301,3335,28140,40,2720,0.9,1.9,2.7,7390,20625,35320,17712,7155,5850,7615,7620,3335,34005,19536
M6L,North York (North Park / Maple Leaf Park / Upwood Park),Ontario,ON,43.7137,-79.4869,780,18530,25,1350,1.3,2.7,3,5545,17415,20807,7412,7385,4175,5855,5855,3550,20345,7639
M6M,York (Del Ray / Keelsdale / Mount Dennis / Silverthorne),Ontario,ON,43.6934,-79.4857,1705,37165,55,2445,1.3,2.6,3,10735,33790,41954,15660,14910,7535,11340,11340,4985,41335,16336
M6N,York (Runnymede / The Junction North),Ontario,ON,43.6748,-79.4839,2185,35950,75,3090,1.3,2.6,3,10270,33085,41312,15845,14235,7910,10940,10935,5310,41275,16738
M6P,West Toronto (High Park / The Junction South),Ontario,ON,43.6605,-79.4633,5230,31140,40,1280,0.9,2.1,2.7,9435,26550,37959,17940,9010,7860,9680,9680,4045,37480,19322
M6R,West Toronto (Parkdale / Roncesvalles Village),Ontario,ON,43.6469,-79.4521,3815,14630,20,395,1,2.2,2.8,4650,13525,19439,8564,4805,3975,4755,4755,1850,18805,9149
M6S,West Toronto (Bloor West Village / Swansea),Ontario,ON,43.6512,-79.4828,4895,26070,35,435,1.1,2.3,2.9,8615,25260,31548,13507,9365,7175,8720,8720,4100,31325,14240
M7A,Queen's Park Ontario Provincial Government,Ontario,ON,43.6641,-79.3889,,,,,,,,,,0,1,,,,,,,1
M7Y,East Toronto Business Reply Mail Processing Centre 969 Eastern (Enclave of M4L),Ontario,ON,43.7804,-79.2505,,,,,,,,,,0,1,,,,,,,1
M8V,Etobicoke (New Toronto / Mimico South / Humber Bay Shores),Ontario,ON,43.6075,-79.5013,3050,27620,45,945,0.9,2,2.6,8255,22270,31921,16029,7330,6520,8410,8415,4515,31545,17173
M8W,Etobicoke (Alderwood / Long Branch),Ontario,ON,43.6021,-79.5402,1510,18040,15,455,1,2.3,2.8,5410,15815,20046,8534,5755,4430,5630,5630,3015,19985,9036
M8X,Etobicoke (The Kingsway / Montgomery Road / Old Mill North),Ontario,ON,43.6518,-79.5076,1300,9060,5,115,1,2.3,2.9,2940,8635,10481,4454,3060,2615,2960,2960,2065,10395,4577
M8Y,Etobicoke (Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East),Ontario,ON,43.6325,-79.4939,1830,17335,15,475,1,2.2,2.8,5350,15295,19805,8965,5355,4485,5455,5455,2525,19645,9413
M8Z,Etobicoke (Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West),Ontario,ON,43.6256,-79.5231,1295,13490,15,460,1,2.5,2.8,4310,12665,15302,6186,4455,3735,4470,4470,2730,15225,6433
M9A,Etobicoke (Islington Avenue),Ontario,ON,43.6662,-79.5282,3245,29075,40,915,1.1,2.4,2.9,8960,26825,33520,13874,10170,7520,9125,9130,5495,32985,14360
M9B,Etobicoke (West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale),Ontario,ON,43.6505,-79.5517,2560,26560,35,770,1.1,2.6,3,8445,25855,30182,11313,9960,7180,8710,8710,5040,29910,11584
M9C,Etobicoke (Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Woods),Ontario,ON,43.6437,-79.5767,2690,32350,20,975,1.1,2.5,2.9,10000,30285,36672,14244,11690,8270,10325,10325,6875,35990,14462
M9L,North York (Humber Summit),Ontario,ON,43.7598,-79.5565,375,10500,10,1105,1.3,3.3,3.1,3030,10635,11998,3651,4545,2695,3395,3395,2230,11975,4066
M9M,North York (Humberlea / Emery),Ontario,ON,43.7366,-79.5401,680,18475,15,1495,1.4,3,3.1,5290,17830,20681,6787,7870,4195,5765,5770,2770,20650,7149
M9N,Weston,Ontario,ON,43.7068,-79.517,1100,22635,20,925,1.3,2.4,2.9,6210,19120,24946,10240,8180,4445,6495,6495,2920,24610,10826
M9P,Etobicoke (Westmount),Ontario,ON,43.6949,-79.5323,1345,18610,20,655,1.2,2.6,2.9,5700,17280,20970,7827,6920,4465,5890,5890,4145,20230,8097
M9R,Etobicoke (Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens),Ontario,ON,43.6898,-79.5582,1910,29390,50,1220,1.3,2.7,3.1,8610,27725,32581,11858,11820,6875,9030,9030,5690,32570,12343
M9V,Etobicoke (South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens),Ontario,ON,43.7432,-79.5876,2045,49625,95,3750,1.5,3.4,3.3,13260,48640,55949,16465,22620,11150,14870,14870,6100,55490,17584
M9W,Etobicoke Northwest (Clairville / Humberwood / Woodbine Downs / West Humber / Kipling Heights / Rexdale / Elms / Tandridge / Old Rexdale),Ontario,ON,43.7144,-79.5909,1890,37010,30,1665,1.3,3,3.1,10085,34255,41164,13628,14830,8375,11050,11050,5300,40285,14302
N0A,West Haldimand (Port Dover),Ontario,ON,42.9403,-79.945,915,34610,5,40,1,2.5,2.9,10400,30745,35928,14034,11125,8840,10775,10775,5740,35455,16193
N0B,Wellington (Elora),Ontario,ON,43.5569,-80.4414,3860,70075,15,745,1.2,2.9,3.1,21275,68430,75175,25419,26435,20120,21875,21875,9655,74305,26447
N0C,Georgian Bay Southwest Shore (Dundalk),Ontario,ON,44.2561,-80.5029,740,15065,0,160,1,2.6,2.9,4655,13875,16031,6210,4890,4225,4760,4760,2865,15930,8124
N0E,Brant and Norfolk (Waterford),Ontario,ON,42.866,-80.4329,1050,33040,5,535,1.1,2.7,3,10060,30535,34754,12669,11105,9160,10275,10270,5425,33925,14485
N0G,Huron (Wingham),Ontario,ON,44.0024,-81.0676,2440,77570,10,930,1.2,2.6,3.1,22885,71110,82117,30714,26965,20875,23270,23270,12345,80670,34788
N0H,Bruce Peninsula (Wiarton),Ontario,ON,44.6941,-81.0962,2310,43690,10,100,0.8,2.3,2.7,14350,39535,46602,19634,11940,13040,14555,14560,9725,45860,31704
N0J,Oxford (Norwich),Ontario,ON,43.0506,-80.7094,880,30250,5,320,1.3,2.9,3.2,8790,28635,31501,10727,11530,8135,8970,8965,3885,31215,11255
N0K,Perth (Mitchell),Ontario,ON,43.5067,-81.1582,535,23125,5,260,1.3,2.8,3.2,6590,21470,24169,8529,8720,6075,6670,6670,3155,23815,8872
N0L,Elgin (Dorchester),Ontario,ON,42.7557,-81.4533,1770,46070,5,180,1.1,2.7,3,14210,43195,48404,17822,15920,12785,14485,14485,6735,47875,18446
N0M,Middlesex (Clinton),Ontario,ON,43.2788,-81.5442,2135,61315,10,160,1,2.5,2.9,19000,55940,64473,25100,19320,17390,19230,19230,11155,63185,29840
N0N,Lambton (Forest),Ontario,ON,42.9062,-82.11,2220,38110,15,35,1.1,2.6,2.9,12095,35940,40813,15656,12870,10840,12235,12230,6065,40190,17693
N0P,Kent (Blenheim),Ontario,ON,42.4448,-82.1805,3720,48385,30,670,1,2.5,2.9,15580,46125,53122,20826,16430,13895,15795,15795,8655,52380,23163
N0R,Essex (Belle River),Ontario,ON,42.1783,-82.7715,6165,37235,45,160,1.1,2.7,3,12855,39420,43966,16023,14745,11585,13085,13085,5550,43410,17590
N1A,Dunnville,Ontario,ON,42.9001,-79.6163,295,11320,5,20,1.1,2.5,2.9,3380,10020,11848,4646,3615,2960,3435,3435,2140,11610,5266
N1C,Guelph South,Ontario,ON,43.4921,-80.2267,420,3300,0,40,1.4,3.2,3.3,1045,3535,3756,1172,1465,980,1085,1085,290,3755,1187
N1E,Guelph North,Ontario,ON,43.5677,-80.2418,2655,33315,15,230,1,2.4,2.9,10185,29875,36540,14727,10875,8590,10410,10410,4685,36010,15354
N1G,Guelph Central,Ontario,ON,43.5184,-80.2257,2830,22760,5,195,1.1,2.5,2.9,6910,20690,25879,10041,7495,6105,7085,7090,3880,25505,12081
N1H,Guelph Northwest,Ontario,ON,43.5557,-80.2586,3380,38275,20,460,1,2.3,2.8,11500,33405,42288,18151,11965,9680,11760,11760,6205,41975,19384
N1K,Guelph West,Ontario,ON,43.5243,-80.2863,440,7910,5,320,1.4,3.3,3.3,2240,7915,8682,2590,3420,2085,2405,2405,495,8675,2645
N1L,Guelph East,Ontario,ON,43.516,-80.19,1085,10330,10,165,1.3,3,3.2,3155,10390,11650,3914,4200,2920,3270,3275,900,11590,4286
N1M,Fergus,Ontario,ON,43.7001,-80.3664,910,13890,5,10,1.1,2.6,2.9,4310,12945,15145,5782,4725,3825,4400,4400,2190,14775,6245
N1P,Cambridge South,Ontario,ON,43.3398,-80.2955,315,6680,0,100,1.4,3.3,3.3,1965,6685,7101,2169,2895,1775,2020,2020,320,7085,2183
N1R,Cambridge Central,Ontario,ON,43.353,-80.2727,1815,38445,30,1145,1.1,2.5,2.9,11555,34600,41728,16396,13060,9520,12020,12020,5985,41290,17060
N1S,Cambridge Southwest,Ontario,ON,43.3592,-80.3347,1265,17405,5,110,1.1,2.5,2.9,5385,16145,19068,7357,6050,4595,5505,5505,2520,18705,7543
N1T,Cambridge East,Ontario,ON,43.3849,-80.2833,1125,14860,10,375,1.5,3.4,3.4,4340,15460,16373,4772,6790,4055,4610,4615,1125,16365,4842
N2A,Kitchener East,Ontario,ON,43.4413,-80.4246,1590,24650,10,420,1.1,2.6,3,7560,23075,27195,10146,8845,6475,7755,7755,3415,26595,10413
N2B,Kitchener Northeast,Ontario,ON,43.4646,-80.4467,985,15525,5,255,1,2.4,2.8,4770,13950,16818,7033,4975,4075,4895,4895,3045,16750,7200
N2C,Kitchener South Central,Ontario,ON,43.4182,-80.4451,750,13180,10,355,1,2.3,2.8,3880,11035,14535,6262,4000,3055,3980,3975,1845,14290,6511
N2E,Kitchener Southwest,Ontario,ON,43.4106,-80.5011,1960,34340,25,855,1.3,2.8,3.1,10345,33030,37660,13082,13620,8710,10700,10700,2605,37170,13336
N2G,Kitchener Central,Ontario,ON,43.4443,-80.4891,980,11440,10,225,0.8,1.9,2.6,3075,8165,12933,6676,2560,2485,3125,3125,1940,12570,7305
N2H,Kitchener North Central,Ontario,ON,43.4581,-80.4818,1700,18640,0,190,0.9,2,2.7,5330,14600,20770,10070,4765,4420,5420,5415,3025,20470,10697
N2J,Waterloo Southeast,Ontario,ON,43.504,-80.5366,1305,15690,10,190,0.8,2.1,2.7,4505,12255,17270,8225,3740,3930,4580,4580,3665,17180,9938
N2K,Kitchener North,Ontario,ON,43.4961,-80.4936,1890,23725,5,245,1.2,2.9,3.1,7310,23285,26093,9014,9295,6545,7450,7445,2180,25745,9217
N2L,Waterloo South,Ontario,ON,43.4715,-80.5454,2590,22020,15,290,1,2.3,2.8,6090,17425,25261,10602,5960,5275,6190,6190,3560,24280,14020
N2M,Kitchener Northwest,Ontario,ON,43.4363,-80.5093,2110,29710,15,755,1,2.3,2.8,8885,25565,32875,14217,9345,7155,9070,9075,4495,32555,14800
N2N,Kitchener West,Ontario,ON,43.426,-80.5438,1655,23790,20,430,1.3,3,3.1,7385,23875,26351,8499,9605,6625,7645,7645,2215,25785,8550
N2P,Kitchener Southeast,Ontario,ON,43.3878,-80.4296,1135,16620,5,200,1.2,2.8,3,5040,15880,18160,6412,6070,4595,5215,5215,1530,17945,6668
N2R,Kitchener South,Ontario,ON,43.3849,-80.487,415,6940,5,120,1.3,3.1,3.2,2135,6985,7492,2421,2785,1995,2205,2205,275,7480,2491
N2T,Waterloo Southwest,Ontario,ON,43.453,-80.5692,2105,17565,5,325,1.3,3,3.2,5595,18500,20031,6596,7725,5040,5735,5735,1545,20000,6727
N2V,Waterloo Northwest,Ontario,ON,43.4764,-80.5842,1100,14170,5,285,1.3,3.1,3.2,4295,14250,15720,5063,5885,3950,4415,4415,980,15455,5152
N2Z,Kincardine,Ontario,ON,44.1664,-81.601,735,9645,5,25,0.8,2.3,2.7,3190,8855,10506,4471,2690,2935,3230,3230,1945,10335,5287
N3A,Baden,Ontario,ON,43.4001,-80.6497,610,13835,0,15,1.1,2.7,3,4355,13155,14664,5383,4710,4030,4415,4415,2230,14460,5532
