Neighbourhood,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,City Grants Funding $,Walk Score,Watermain Breaks,Salvation Army Donors,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 65 - 69 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,   Language - Chinese,   Language - Tamil,   Language - Spanish,   Language - Italian,   Language - Portuguese,   Language - Tagalog,   Language - Urdu,   Language - Russian,   Language - Persian (Farsi),   Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,Green Rebate Programs,Tree Cover,Green Spaces,Pollutants Released to Air,Pollutant Non-Carcinogenic TEP Score,Pollutant Carcinogenic TEP Score,Female Fertility,Premature Mortality,Student Nutrition,Health Providers,Breast Cancer Screenings,Cervical Cancer Screenings,DineSafe Inspections,Rent Bank Applicants,Social Housing Units,Social Housing Turnover,Social Housing Waiting List,Home Prices,Mid-Century Highrise Population,Percent Mid-Century Highrise Population,Mid-Century Highrise Households,Percent Mid-Century Highrise Households,Linguistic Diversity Index,TCHC Facility Amenities,PFR Program Registrations,PFR Program Free Registrations,PFR Community Space Use,PFR Permits Issued,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Fire Medical Calls,Total Major Crime Incidents,Hazardous Incidents,Fire Vehicle Incidents,Fires & Fire Alarms,Arsons,Murders,Thefts,Vehicle Thefts,Robberies,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions,Part-Time Employment,Low Income Families,Low Income Population,Low Income Children (Age 0-17),Low Income Older Adults (Age 65+),Low Income Lone Parent Families,Lone Parent Families,Low Income Lone Parent Families Pop,Lone Parent Families Population
Pelmo Park-Humberlea,798,2855,152,735,412618,0,0,57,2,258,4.2,8705,4200,4505,475,470,530,620,515,480,495,345,570,665,750,700,540,420,435,325,220,160,8380,170,115,605,1505,410,120,25,5,30,25,1475,1145,2465,1505,89,1068349.305,0.636607684,2735,6928.37,21.35,49.46727549,210.9,0,4,61.2,62.94,1,4,176,0.333333333,149,412618,520,6,195,6.5,0.701375163,2,239,0,685,1038,43,63,5,37,347,222,42,186,115,1,0,6,29,39,110,32.44376816,5889.857143,47,173,833,710,1430,450,90,170,530,450,1350
Black Creek,6408,3856,306,661,235143,175,45890,62,3,126,3.4,22060,10260,11795,1805,1720,1585,1675,1705,1630,1405,760,1395,1570,1540,1430,1095,920,665,515,340,280,20975,745,725,1310,1050,120,310,185,105,95,25,5100,3390,4580,2570,82,742477.3148,0.410027147,6055,14395.8,0,63.50817823,214.8,3610,36,54.35,59.38,8,27,1432,5.818181818,829,235143,10490,47.6,3960,54.7,0.747526043,18,172,3101,3631,6093,90,242,36,75,786,572,169,99,263,2,1,4,59,65,135,23.51819455,7326.3,94,182,759,3680,7940,2950,300,1120,2190,3260,6200
Glenfield-Jane Heights,7263,8323,587,678,304262,173,196977,61,20,247,5.2,31395,14755,16635,2110,2135,2290,2445,2105,2050,1865,1220,1905,2185,2285,2175,1640,1490,1190,1110,765,435,30080,1445,485,3695,3475,355,485,125,90,215,40,6565,4545,7840,4735,177,1209851.201,0.808033611,860,8434,260,55.82177385,225.9,5855,93,60.44,61.63,10,30,1587,4.269230769,949,304262,8745,27.9,2985,29.8,0.77360505,16,2333,3956,4928,6448,117,299,72,84,911,734,197,98,362,3,1,4,37,120,222,41.62227043,3632.714286,88,340,1714,4420,9610,3560,380,1380,2920,4040,8210
Downsview-Roding-CFB,5618,20150,985,692,400486,238,399478,59,26,538,14.9,34650,16700,17965,2220,1905,1915,2050,2185,2490,2655,1285,2380,2585,2795,2560,2020,1630,1255,1195,890,615,33265,730,200,3470,5040,835,1565,130,180,205,80,6040,4250,8910,5240,235,2455776.666,0.852075706,256337,427209.6,2169.2,58.01649567,227.1,4377,88,60.39,63.3,58,36,527,2.777777778,1060,400486,6095,17.6,2685,20.3,0.752538706,3,4603,1899,2286,4136,126,402,50,187,1262,981,233,365,441,5,3,8,128,77,300,87.98992412,2825.888889,166,604,4334,4060,7750,2300,300,910,2390,2430,6110
York University Heights,4720,42885,2643,698,359372,156,23870,60,13,408,13.2,27715,13580,14125,1645,1385,1380,1750,3280,2815,2120,870,1800,1820,1940,1750,1335,1150,890,825,545,395,26340,1750,1175,1475,2280,285,930,580,430,370,265,4405,5040,6010,3545,167,2067412.314,0.887333748,203624,962405.5,205788.1,52.58659469,186.5,4065,67,59.93,58.9,46,43,511,2,727,359372,9845,35.5,4065,39.4,0.801404621,1,3231,601,1853,4529,56,282,49,150,1007,776,186,143,798,2,2,16,122,99,548,67.60074578,5546.25,235,598,11541,4490,7950,1870,280,690,1780,1810,4610
Rustic,1924,550,48,692,493442,26,0,60,4,156,2.1,9950,4475,5480,765,730,750,670,635,630,575,395,600,670,695,605,470,410,395,445,300,220,9625,140,190,680,1510,440,110,65,20,30,10,2235,1300,2630,1760,56,550083.8931,0.19744749,0,0,0,64.03162055,210.3,1182,2,62.86,62.96,0,9,1435,3.117647059,349,493442,3355,33.7,1225,33.7,0.712584247,3,2532,2876,303,528,25,86,14,43,380,233,92,83,181,0,1,5,18,41,99,20.02981099,7692,30,36,163,1340,2980,1240,90,540,1050,1560,2900
Maple Leaf,919,737,47,721,540741,90,0,66,8,163,2.5,10195,4935,5260,555,495,565,560,580,640,665,445,670,800,805,725,550,500,490,505,370,265,9605,100,105,680,2295,480,400,70,40,20,15,1640,1140,3100,2055,82,803509.8331,0.167833165,1011,65715,970.56,50.20576132,192.9,700,4,57.9,62.01,0,5,175,0,160,540741,2150,21.1,725,20.4,0.776084272,0,0,0,0,2,9,37,10,29,303,117,29,72,85,0,0,0,13,19,76,23.05914766,3384.666667,26,41,142,880,1770,500,100,170,500,440,1220
Brookhaven-Amesbury,3420,4825,466,687,352428,54,16300,62,4,201,3.5,17785,8315,9470,1315,1110,1130,1230,1215,1360,1255,545,1140,1300,1420,1350,1000,770,515,450,370,305,16950,465,250,1580,1210,985,480,115,45,55,30,3540,2460,3950,2195,113,834834.6989,0.405956959,4409,3.43E+07,1695.2,56.4206269,218.3,1030,45,55.65,62.39,1,36,589,2.777777778,603,352428,7620,42.8,2935,45.7,0.732061329,3,2655,40,950,2822,33,143,52,58,457,371,86,31,178,3,0,6,47,32,108,29.67583066,4326.375,57,188,1177,2320,4780,1630,170,690,1500,1880,4020
Yorkdale-Glen Park,1502,24685,1468,729,421045,82,59894,72,13,335,5.9,14685,6750,7940,640,690,815,835,845,890,895,610,860,1050,1085,1030,850,765,690,755,690,700,13685,640,120,625,2950,810,605,60,85,70,50,2140,1690,5070,3450,246,692811.6556,0.236609421,82979,150769,747.84,44.03409091,212.3,1385,46,60.88,63.93,9,6,798,7.7,292,421045,2730,18.6,1130,21.6,0.772607586,0,1399,15,58,1299,60,181,11,67,812,551,128,174,286,1,0,14,137,81,246,49.71453259,4193.75,155,1007,7556,1470,2850,850,190,320,930,940,2430
Englemount-Lawrence,2733,3495,175,730,577889,105,18000,70,13,482,3.6,22080,9675,12415,1675,1530,1550,1500,1320,1315,1470,715,1450,1380,1370,1365,1160,955,655,665,715,1305,20580,285,45,630,545,335,1900,45,600,155,65,4765,2820,6170,4050,379,924958.528,0.20662549,0,0,0,62.99516908,230.5,2895,8,60.03,63.4,2,9,1688,2.210526316,379,577889,2785,12.6,1465,18,0.647173537,6,3829,2470,787,3368,17,147,19,82,669,376,140,69,246,2,0,5,27,79,198,39.79200011,3056.1,90,185,1331,2470,5360,1870,230,530,1270,1580,3510
