Neighbourhood,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,City Grants Funding $,Walk Score,Watermain Breaks,Salvation Army Donors,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 65 - 69 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,   Language - Chinese,   Language - Tamil,   Language - Spanish,   Language - Italian,   Language - Portuguese,   Language - Tagalog,   Language - Urdu,   Language - Russian,   Language - Persian (Farsi),   Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,Green Rebate Programs,Tree Cover,Green Spaces,Pollutants Released to Air,Pollutant Non-Carcinogenic TEP Score,Pollutant Carcinogenic TEP Score,Female Fertility,Premature Mortality,Student Nutrition,Health Providers,Breast Cancer Screenings,Cervical Cancer Screenings,DineSafe Inspections,Rent Bank Applicants,Social Housing Units,Social Housing Turnover,Social Housing Waiting List,Home Prices,Mid-Century Highrise Population,Percent Mid-Century Highrise Population,Mid-Century Highrise Households,Percent Mid-Century Highrise Households,Linguistic Diversity Index,TCHC Facility Amenities,PFR Program Registrations,PFR Program Free Registrations,PFR Community Space Use,PFR Permits Issued,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Fire Medical Calls,Total Major Crime Incidents,Hazardous Incidents,Fire Vehicle Incidents,Fires & Fire Alarms,Arsons,Murders,Thefts,Vehicle Thefts,Robberies,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions,Part-Time Employment,Low Income Families,Low Income Population,Low Income Children (Age 0-17),Low Income Older Adults (Age 65+),Low Income Lone Parent Families,Lone Parent Families,Low Income Lone Parent Families Pop,Lone Parent Families Population
Kensington-Chinatown,2523,37205,1883,728,477989,247,1054403.08,97,1,210,1.5,18500,9125,9365,570,435,515,960,2680,2610,1770,525,1250,1145,1230,1135,865,755,560,605,450,445,17685,6070,15,325,65,340,190,60,95,125,180,1530,3645,4175,2570,87,186615.1575,0.066166444,1156,1648,0,31.51750973,218.7,1642,82,55.39,57.81,80,5,2597,0.710280374,781,477989,4195,22.7,2770,32.1,0.753034223,9,67,1971,0,96,197,369,25,166,1568,869,146,134,494,3,1,14,29,68,289,21.2281364,4152.777778,49,236,8166,3690,6070,970,340,410,860,1040,2210
University,259,10967,483,748,773920,15,208030,97,3,198,1.4,7790,3810,3985,185,165,125,320,1370,1200,745,275,510,425,445,375,365,365,230,240,180,300,7175,925,20,160,95,330,40,20,60,45,175,490,1670,1920,1185,46,237726.2955,0.005829924,27906,2555056.6,26415.68,28.92018779,256.7,1748,59,57.79,60.54,49,1,359,2,140,773920,730,9.4,490,14.9,0.615891901,3,0,0,0,4,54,131,21,53,544,296,72,78,296,1,0,1,6,30,86,15.59120246,0,45,152,2439,1180,1530,110,20,40,170,110,380
Palmerston-Little Italy,665,3262,521,742,781568,159,166598,95,3,218,1.4,13735,6830,6920,475,390,360,390,1370,2275,1640,525,1135,1045,815,735,660,595,460,385,300,210,13380,895,0,375,815,1195,55,35,55,40,125,1200,1755,3140,1890,130,291292.5258,0.03884142,0,0,0,25.82375479,209.5,990,57,61.76,64.73,4,1,262,6,170,781568,220,1.6,175,2.8,0.572853477,0,2577,4,79,419,25,123,18,57,395,261,99,67,149,1,0,4,16,18,95,18.86810933,2291.666667,40,148,1443,1280,1810,240,120,110,420,240,980
Trinity-Bellwoods,1415,5380,715,742,723909,332,104565,94,4,195,1.7,16805,8310,8485,705,525,495,545,1370,2240,1835,580,1440,1310,1305,985,850,770,590,565,390,275,16080,3115,5,190,540,2885,60,15,30,30,30,1730,1910,4030,2400,157,239145.5294,0.17939058,558,558,0,34.94060098,192.5,945,34,58.03,63.44,7,1,42,0.333333333,261,723909,0,0,0,0,0.705007689,6,5966,0,491,1534,62,165,19,67,757,361,135,83,234,1,1,2,22,23,156,26.77774476,4139.6,41,208,1951,1990,3220,490,180,160,600,380,1400
Niagara,1246,15621,591,747,398281,65,486176,84,1,336,3.1,21000,10320,10685,725,350,285,365,1400,4120,4505,420,2800,1725,1275,980,805,620,255,205,105,50,20125,1035,25,565,215,725,230,60,195,160,165,1380,1765,2455,1025,115,282844.0009,0.361737869,4819,18111.8,0,36.54694392,258.8,455,15,58.6,67,68,10,2052,1.631578947,334,398281,2115,10.1,1305,10.3,0.499369006,0,0,0,0,1650,64,241,25,46,598,417,124,103,401,0,0,8,17,16,312,19.53632815,5347.625,64,313,4758,1730,2580,440,90,230,670,570,1550
Dufferin Grove,1303,4072,375,721,502736,80,24065,90,1,132,1.4,11450,5685,5760,510,415,370,410,845,1475,1335,425,1025,920,775,785,615,560,350,290,180,155,11115,690,65,550,215,1955,110,80,70,15,180,1310,1260,2550,1380,108,250633.6213,0.078001154,6067,30993,0,37.26346434,191.8,1161,8,58.37,61.98,13,4,41,0,291,502736,1495,13.1,790,15.4,0.707595257,0,0,0,0,441,41,146,19,75,323,348,81,43,119,0,0,10,15,42,94,16.21458922,3287.2,42,141,1685,1310,2140,400,80,130,440,330,1050
Little Portugal,983,2597,344,727,514960,55,52210,88,3,144,1.2,12055,5910,6150,450,405,375,425,805,1485,1370,475,1105,935,840,750,615,610,470,405,290,240,11680,945,10,260,170,3085,65,5,45,30,35,1230,1245,3140,1910,106,115638.8164,0.016534602,4259,17357,0,37.22812342,272.9,547,18,59.46,62,6,6,386,3.166666667,239,514960,620,5.1,375,7.1,0.658093905,3,4202,2,259,394,37,137,12,77,444,296,70,27,129,0,0,7,10,16,122,17.38358577,6815.5,22,102,1127,1300,2030,390,130,200,560,470,1340
South Parkdale,4473,7617,564,695,500054,70,196602,83,5,204,2.3,21245,10810,10435,980,785,800,910,1500,2395,2400,715,2075,1760,1545,1580,1215,1075,535,400,290,285,19440,505,380,535,85,300,820,60,165,105,80,2565,2415,4495,2195,61,364045.7564,0.45833344,43033,44369.2,0,40.78692158,424.9,1723,14,48.6,56.51,9,21,1545,1.214285714,1194,500054,10080,47.4,5130,48.4,0.703912878,17,336,3388,3171,5136,140,333,16,64,1056,634,168,158,491,2,1,9,29,42,110,24.80493413,6156.444444,40,152,1520,3640,5660,1060,200,440,970,1100,2420
Roncesvalles,2268,2885,540,741,581425,150,40000,91,0,238,1.5,15050,7430,7620,970,815,700,555,780,1290,1540,465,1515,1460,1250,1055,825,670,395,325,235,200,14620,555,160,200,115,505,145,35,90,20,65,2460,1340,3105,1610,177,317461.8945,0.039249551,156,10140,149.76,41.9379845,281,1340,61,52.96,65.25,7,6,501,7,409,581425,2530,16.8,1160,17.1,0.593308877,5,3781,819,898,1478,74,192,13,75,782,386,134,77,264,1,0,4,10,18,139,19.20689115,4172,41,90,1301,1680,2640,510,180,170,550,430,1330
High Park-Swansea,1680,6594,448,770,622206,229,53400,79,5,1091,5.3,21750,10030,11720,1235,1100,935,870,1030,1655,1895,885,1880,1865,1705,1575,1370,1235,655,560,565,730,20850,320,5,355,210,210,120,30,385,90,130,3255,1910,6000,3380,252,2750624.56,1.832356973,0,0,0,41.86915888,187.7,0,87,63.61,70.85,1,2,473,5.714285714,227,622206,2165,10,1230,12.4,0.538544589,2,4218,51,155,5276,19,103,6,59,522,232,113,59,251,0,0,2,26,17,291,47.64471023,4831.9,77,125,2658,1350,2290,560,120,210,770,590,1890
High Park North,1054,2577,254,759,609689,241,41800,84,1,789,1.9,21300,10100,11190,1100,805,750,785,1330,2380,2250,735,1975,1755,1595,1475,1365,1155,505,450,385,470,20700,590,75,605,195,325,170,45,930,165,420,2645,2120,5085,2565,174,716638.9917,0.058883025,0,0,0,38.77179287,192.5,35,27,55.93,67.42,2,7,661,2.2,369,609689,8530,40,5060,47.7,0.646882074,1,5455,86,42,1551,29,125,8,106,744,309,101,53,225,3,0,1,14,26,145,23.63400611,2299.333333,61,87,892,1810,2940,530,160,190,770,490,1770
Runnymede-Bloor West Village,251,2421,334,777,666204,220,8670,81,0,427,1.6,9635,4565,5065,735,600,490,495,470,470,730,310,910,875,845,755,630,535,215,190,190,165,9420,190,5,140,165,115,70,10,50,15,40,1825,970,2250,1085,175,530461.1918,0.012453777,1363,4748.4,0.02,52.36220472,224.1,360,24,62.76,73.77,2,1,6,0,46,666204,0,0,0,0,0.466757723,0,2746,0,0,7,8,69,3,42,311,165,75,20,83,1,0,5,21,17,102,19.86655409,2667.5,55,56,924,410,720,170,40,60,320,150,790
Junction Area,1155,6528,631,733,532997,30,12000,83,1,282,2.6,14015,6820,7210,775,625,615,785,900,1275,1390,430,1285,1200,1195,1100,890,670,305,230,195,160,13355,565,25,500,175,780,290,35,105,25,65,2025,1680,2880,1320,178,477509.2854,0.09520802,109791,184373.2,1628.64,47.77921518,257.1,80,9,54.95,64.68,1,11,59,4.333333333,343,532997,25,0,20,0.3,0.609884639,0,0,0,0,577,40,143,14,57,501,304,111,83,199,2,0,3,32,15,146,26.82264851,5993.6,93,164,2420,1350,2190,480,80,220,650,560,1590
Weston-Pellam Park,1754,1214,178,698,382119,84,84270,75,4,83,1.5,12015,6015,5990,660,655,715,825,815,965,955,380,915,925,1020,935,765,610,275,260,200,135,11475,310,30,860,665,2770,130,20,25,10,15,2035,1645,2630,1250,97,160318.6378,0.036219298,123,123,0,45.95274007,236.7,1638,6,56.66,61.93,0,6,695,5.272727273,332,382119,460,3.8,385,8.8,0.739573478,6,0,0,0,152,58,125,26,44,353,300,64,22,128,0,0,7,23,17,104,16.90758145,2896.8,32,62,457,1530,2810,800,120,310,790,870,2040
Corso Italia-Davenport,1294,2111,420,708,502819,105,0,79,3,136,1.9,13735,6710,7035,705,620,625,840,950,1155,1185,480,1015,1015,1135,1060,865,640,470,405,345,210,13180,295,10,1040,1855,3035,190,20,20,15,25,1965,1800,3425,1925,173,336321.8106,0.126546218,0,0,0,41.79620035,174.2,960,52,60.99,64.17,2,5,93,0.222222222,263,502819,0,0,0,0,0.73469712,0,6245,0,218,1689,21,127,15,50,458,264,81,66,102,1,0,2,18,31,124,22.3904709,3832.833333,73,78,584,1210,2120,500,100,240,720,590,1680
Dovercourt-Wallace Emerson-Juncti,3563,5077,890,719,512789,179,97970,88,8,409,3.7,34635,17225,17415,1670,1345,1430,1720,2635,3770,3495,1235,3080,2650,2675,2425,1920,1595,1070,870,610,445,33270,2255,285,1395,1260,6535,345,145,160,70,230,4455,4355,7750,4250,380,409561.3,0.236699059,10190,25424,1.4,42.56825076,216.4,1934,27,58.41,62.86,22,16,1375,1.15,955,512789,960,2.8,560,4,0.719049512,10,4826,40,175,1993,127,275,55,162,1145,743,228,99,403,0,1,8,62,53,286,47.68163149,3898.416667,137,204,1748,3860,6400,1330,320,550,1580,1340,3820
Wychwood,911,5143,379,745,656868,84,24000,86,3,466,1.7,13985,6460,7525,730,610,540,650,870,1010,1085,580,995,1100,1000,875,860,755,510,535,500,770,12855,630,15,540,555,795,205,0,85,50,105,1885,1515,4525,2915,162,455742.7193,0.064319715,4502,5104.4,0,38.85088919,207.6,130,35,61.35,67.12,7,4,1154,1.346153846,331,656868,1210,8.7,785,14.2,0.601919111,6,0,0,0,1043,15,91,13,58,507,220,96,56,140,1,0,5,15,23,75,22.11651935,3112.5,62,74,770,1220,1940,400,110,190,600,440,1450
Annex,1150,25719,2328,755,993491,201,553355,94,11,1401,2.8,29180,13745,15415,865,695,635,870,3045,4190,2995,1385,2085,1900,1860,1715,1680,1805,1100,840,685,795,27380,1370,30,555,520,355,135,90,315,270,375,2195,3895,8305,4805,235,789795.1516,0.11249685,188,3772,53.76,25.44437787,231,430,198,61.06,65.1,35,6,779,2,464,993491,6945,23.8,5005,32.2,0.488581691,6,168,0,0,353,33,272,46,155,1526,604,257,161,777,2,1,20,39,38,331,39.47685229,5810.5,120,290,6951,3110,4260,490,200,230,730,520,1720
Casa Loma,189,3283,258,771,1083381,142,28600,80,3,714,1.9,10485,4885,5600,375,375,405,405,655,1070,820,615,665,700,745,680,765,830,455,330,305,275,10255,255,5,220,125,70,145,10,140,50,35,1160,1065,3595,1995,80,893260.9166,0.173001423,575,5631,75.84,29.78723404,166.5,0,77,68.88,68.26,5,4,101,0,87,1083381,3035,28.9,1895,35.6,0.402803118,0,3883,25,0,2540,3,33,2,41,444,91,81,55,236,1,0,4,4,4,116,22.99642277,3815.5,45,74,1319,630,950,140,60,40,280,130,650
Yonge-St.Clair,283,7858,468,771,995616,20,6500,84,0,1126,1.2,11655,5235,6420,395,345,235,285,645,1355,1125,755,900,860,755,715,760,820,525,445,365,395,11445,250,10,230,120,55,95,10,180,120,55,985,925,4075,2505,74,428626.4357,0.02470925,0,0,0,29.69885774,142,0,56,70.1,71.8,14,4,0,0,74,995616,3940,33.8,2655,39.2,0.395199103,0,0,0,0,2531,0,27,5,62,312,111,67,28,175,0,0,6,8,3,99,12.83543094,7116,28,58,1221,680,980,110,30,40,320,90,750
Rosedale-Moore Park,499,19160,683,777,1265389,162,38672,84,8,2101,4.6,20635,9410,11220,690,875,925,1065,1195,1405,1150,1370,1125,1420,1560,1605,1565,1555,980,825,710,640,20250,515,5,310,160,80,185,40,185,180,150,2495,2250,7640,4525,170,2557866.411,0.793670753,0,0,0,27.99736495,133.7,0,40,67.82,71.59,19,9,573,1.333333333,186,1265389,4735,22.9,3170,31.6,0.369962628,0,0,0,0,3611,9,85,12,82,972,237,222,130,578,0,0,9,20,20,305,48.24002744,3646.62069,91,148,2435,1120,1650,230,110,70,480,180,1090
Mount Pleasant East,288,4741,463,777,815247,82,3500,88,1,1297,3.1,15980,7415,8565,1110,910,775,690,785,1040,1250,700,1405,1430,1355,1135,1040,955,490,375,265,275,15690,380,20,215,125,75,135,20,180,150,105,2790,1445,4110,2105,213,1407432.303,0.087790047,446,1.00E+07,0,50.53892216,170.3,15,47,68.05,75.37,55,5,333,6.333333333,101,815247,2280,14.3,1555,21.1,0.405103095,2,1603,0,0,147,9,51,5,52,405,135,99,52,150,1,0,5,7,6,218,28.31337044,5380.714286,58,83,1690,760,1210,200,70,90,480,200,1100
Yonge-Eglinton,189,11746,690,759,975449,45,78748,89,2,829,1.6,10580,5045,5530,620,530,400,445,675,1080,1055,470,885,850,740,625,735,655,255,240,160,165,10380,280,10,235,100,45,115,10,85,60,145,1545,1110,2670,1285,130,581770.2508,0.127074744,0,0,0,42.58962012,160.6,280,62,66.34,73.88,9,4,149,0,76,975449,1740,16.4,1275,24.5,0.395542599,0,6122,26,881,2046,43,69,9,60,307,229,115,34,147,0,0,1,14,33,143,22.07398574,5391,67,134,2555,770,1100,150,60,60,310,140,730
Forest Hill South,134,1945,175,775,1585984,30,0,76,5,730,2.5,10925,4980,5950,365,425,530,760,820,810,665,580,585,645,780,820,820,755,445,365,355,405,10520,180,0,155,95,40,245,0,120,65,30,1320,1590,3730,2155,92,1122215.131,0.120135194,691,44915,663.36,28.93309222,150.5,0,25,71.33,71.29,3,3,233,0,55,1585984,1990,18.2,1380,28.8,0.360459075,0,0,0,0,1,0,19,1,58,252,92,83,22,199,0,0,7,3,4,164,30.25289175,5855,28,42,874,550,860,100,70,20,210,80,500
Forest Hill North,633,897,144,749,957688,110,0,77,3,392,1.6,12475,5585,6895,695,690,625,745,780,855,915,470,975,1020,960,950,805,765,350,285,245,340,12155,225,5,475,145,85,750,20,485,65,85,2015,1530,3270,1700,91,601604.5268,0.108893972,73,3363.4,48.96,40.42950514,152.1,0,12,67.09,70.29,3,10,325,2.4,185,957688,5960,47.8,2990,55.9,0.598462442,2,0,0,0,355,4,48,14,57,488,155,105,61,165,0,0,4,6,22,153,20.41502948,5872.555556,53,61,290,1020,1770,340,90,130,460,320,1120
Lawrence Park South,240,1634,167,784,1215390,140,0,72,3,1307,3.2,15075,7170,7895,780,1045,1070,1170,1020,790,715,660,915,1145,1280,1255,1130,925,385,285,280,185,14855,270,5,170,155,35,205,5,110,90,95,2895,2210,3825,1780,176,1808680.345,0.193230593,1,16,0.02,39.46459413,128.4,0,7,72.6,77.01,0,1,113,1.4,80,1215390,455,3,290,5.1,0.302540626,0,0,0,0,2337,8,30,5,109,214,191,149,32,228,0,0,4,26,9,183,39.90787305,4398.111111,39,69,510,580,930,160,40,20,350,130,860
Mount Pleasant West,1343,13311,1129,753,520032,255,0,95,4,1392,1.3,28590,12895,15700,855,550,585,730,1965,4755,4125,1015,2765,2125,1940,1640,1410,1305,840,615,545,815,27655,1080,85,900,225,260,495,70,740,990,610,2000,2715,6540,3825,99,327893.457,0.047800447,248,16120,238.08,24.55706634,191.6,333,135,61.25,67.72,21,11,1443,1.310344828,449,520032,12910,45.2,8410,47.9,0.596975983,13,0,0,0,1703,24,164,19,93,957,355,142,54,376,0,0,2,18,35,228,16.12560861,5827.571429,45,111,4505,3220,4740,700,230,260,990,610,2270
Lawrence Park North,166,3624,381,790,980831,212,0,78,3,1231,2.3,14540,6915,7625,1205,1170,965,840,660,525,820,530,1265,1425,1245,1095,855,795,355,285,260,270,14205,355,10,140,180,60,145,15,135,90,165,3320,1505,3330,1690,245,1126524.597,0.040585045,202,13130,193.92,63.34716459,175.7,0,54,68.7,76.86,8,0,110,2,54,980831,20,0,0,0,0.332256057,1,1811,0,0,1448,2,33,4,56,290,141,138,28,104,1,0,6,27,13,218,29.60219911,4704.142857,55,46,1342,590,980,190,50,70,420,150,1010
Humewood-Cedarvale,698,1345,139,747,800442,108,0,80,2,302,1.9,14110,6440,7670,785,670,600,635,1095,1435,1315,525,1195,1105,1055,970,875,765,380,260,235,205,13680,220,15,605,350,255,780,20,140,50,120,2055,1730,3230,1590,124,689493.7412,0.223360898,0,0,0,40.07662835,157.8,100,10,63.49,69.42,1,8,445,0.375,247,800442,2390,16.9,1410,21.4,0.519463521,4,796,3,0,1215,18,72,5,26,273,139,94,6,119,0,0,4,10,4,88,23.21263491,3941,29,51,471,1190,1820,290,90,150,510,350,1170
Oakwood Village,2412,1573,255,713,482040,168,50000,82,0,352,2.2,21075,10005,11070,1125,985,1030,1080,1275,1500,1630,945,1680,1700,1620,1525,1315,1155,820,705,510,450,20205,570,25,1405,1810,1970,1070,35,165,40,110,3130,2355,5925,3440,194,332628.152,0.049076804,0,0,0,49.22173275,229,1443,9,59.48,62.36,20,9,966,2.75,578,482040,2110,10,1170,13.7,0.710655156,3,4027,0,0,3,37,165,14,56,622,307,117,40,141,1,0,1,16,18,178,32.5587855,4503.666667,40,84,500,2280,3930,940,240,440,1240,1090,3020
Briar Hill-Belgravia,1432,3446,477,719,373937,25,31400,81,2,218,1.8,14295,6590,7720,695,605,715,770,890,1075,1180,470,1115,1175,1290,1190,925,790,465,370,320,245,13680,345,80,800,1020,1100,1190,25,600,40,65,2010,1665,3580,1870,101,169474.2495,0.079464109,2611,4517.7,0.01,44.25216316,182.2,190,30,59.82,60.08,16,9,328,2.666666667,309,373937,4540,31.8,2105,36.3,0.811962441,1,0,0,0,286,33,115,17,36,539,259,106,46,133,1,1,3,29,25,137,22.4839455,11837.28571,45,93,637,1670,2870,580,180,250,830,620,1960
Caledonia-Fairbank,1153,944,92,700,400532,75,9000,69,1,89,1.5,9855,4825,5025,555,480,550,645,655,765,785,370,680,725,840,790,630,510,320,225,185,140,9430,110,20,765,780,2745,395,20,20,10,15,1600,1305,2385,1240,104,325125.1954,0.029773559,0,0,0,44.75853946,233.8,1010,1,59.85,62.95,2,4,16,0,164,400532,235,2.4,75,2.1,0.747543152,0,0,0,1575,97,16,94,17,28,250,170,28,15,45,0,0,1,8,6,82,18.70522556,5796,37,52,123,930,1720,460,80,200,560,500,1350
Keelesdale-Eglinton West,1653,1644,266,707,373029,25,0,69,3,132,1.7,10640,5225,5410,555,520,610,690,695,725,760,450,720,805,905,850,645,590,365,340,250,150,10195,225,65,740,775,2755,310,60,25,10,5,1700,1385,2810,1570,88,348052.1995,0.135732361,2750,8074.6,144.5,47.92368126,209.5,1385,13,56.84,61.42,3,4,349,2.8,251,373029,245,2.3,165,4.1,0.755119216,3,344,0,1,1485,24,125,15,58,340,283,58,32,89,0,0,1,21,39,141,22.30262457,2186.666667,24,119,424,1080,1970,540,130,230,580,580,1410
Rockcliffe-Smythe,3422,3345,314,710,353967,110,0,61,8,539,5.1,22270,10750,11520,1290,1230,1305,1455,1470,1515,1500,975,1435,1555,1785,1680,1420,1220,805,700,530,385,21500,475,50,2035,700,2540,365,80,120,55,65,3820,2925,6070,3425,252,1538308.167,0.552890991,653,2573,28.8,51.85185185,262.5,2505,12,60.03,62.59,0,17,1252,3.470588235,564,353967,5200,23.3,2590,29.1,0.740570254,6,26,0,273,1088,50,182,29,68,795,404,112,62,195,2,0,5,39,31,193,43.05565102,5589.25,104,115,699,2640,5160,1600,240,600,1530,1670,4000
Beechborough-Greenbrook,1478,4140,128,677,440179,22,5000,62,3,108,1.8,6490,2990,3500,455,390,395,415,455,535,495,225,425,480,535,470,365,305,185,155,115,95,6245,45,90,285,410,795,170,15,10,5,15,1235,865,1435,765,41,471027.1467,0.207527138,3911,21135,254.4,54.28051002,297.7,450,7,59.9,63.34,1,10,537,1.1,293,440179,410,6.3,185,6.9,0.641303435,3,4087,91,63,373,38,116,12,26,347,222,47,46,147,2,1,4,6,19,103,16.39852965,5102,35,63,962,950,1920,680,60,290,610,830,1580
Weston,4149,4578,536,679,280187,157,46910,73,10,377,2.6,18170,8545,9625,1270,985,940,1100,1270,1420,1405,640,1255,1330,1440,1375,1220,925,520,400,350,325,17445,230,320,1400,650,655,270,60,55,170,40,3205,2370,4370,2235,94,804471.0408,0.240153499,96336,647850.1,227.37,63.50995866,322.2,1105,49,56.64,62.27,4,32,1048,5.4,814,280187,5865,32.3,3005,38,0.61487124,5,1709,0,0,1594,89,278,35,45,683,554,138,47,336,0,1,8,32,66,196,29.13558051,4369.25,75,178,1986,2650,5050,1680,160,680,1490,1890,3910
Lambton Baby Point,1049,438,66,749,806452,19,0,70,1,360,1.7,7920,3695,4220,585,535,505,475,405,435,505,265,590,690,660,630,565,435,205,155,125,160,7750,85,0,205,95,125,40,0,105,30,45,1630,880,1900,900,80,800289.8023,0.440985674,0,0,0,45.30120482,183.5,120,7,63.38,71.69,0,0,644,4.5,94,806452,1170,14.8,515,16.3,0.540353798,11,486,0,5,1677,8,28,2,20,207,81,49,9,59,1,2,1,8,12,52,19.21811928,2337.857143,28,20,102,690,1390,510,60,190,450,580,1170
Mount Dennis,2937,2198,184,680,273418,109,0,59,1,157,2.1,13150,6210,6935,805,805,835,930,950,1020,915,460,855,930,1150,1045,800,615,365,225,200,235,12425,295,65,1290,210,800,390,60,60,70,175,2455,1865,2940,1515,92,705790.7966,0.672325001,156,156,0,54.48628545,232.3,1960,6,55.49,60.13,1,21,864,1.733333333,545,273418,3640,27.7,1350,27.7,0.695403325,3,1035,0,5,1312,48,135,16,53,445,302,61,53,220,0,1,2,14,33,64,17.69051031,13491.5,59,59,620,1930,3770,1250,150,510,1200,1370,3150
Steeles,1549,5835,237,778,440688,105,35000,61,2,574,4.6,25010,12010,13010,950,940,1120,1565,1925,1905,1280,1195,1350,1905,2070,1895,1820,1745,1050,895,715,690,23975,15735,270,85,260,30,350,105,25,80,90,3020,3500,8105,4545,692,1022877.242,0.450219119,2596,2596,0,39.00156006,143.8,0,9,68.59,65.21,13,0,0,0,428,440688,2985,11.9,1175,15.3,0.821580526,0,4088,1109,966,2173,5,51,7,82,330,205,45,48,95,2,0,4,30,26,234,46.33675666,3711.3125,80,99,1074,3520,7570,1560,710,400,1090,960,2610
L'Amoreaux,3848,4734,443,758,355438,126,8000,65,6,1405,7.1,44915,21085,23840,2230,2100,2375,3070,3125,3075,2380,1955,2790,3320,3870,3310,2950,2610,1865,1640,1270,1015,43075,15065,3655,320,715,100,1125,510,100,675,180,6695,6210,13275,7725,745,2262946.56,0.598731588,251,16315,240.96,43.27044025,163.4,1735,88,63.64,63.56,9,12,1552,7.733333333,867,355438,13580,30.2,5420,36.3,0.848396954,17,3730,237,1,4168,35,116,8,112,944,367,118,116,307,1,1,7,21,67,215,66.57614957,2482.52381,138,249,2015,5840,12450,3230,1020,860,2230,2380,5730
Tam O'Shanter-Sullivan,1973,3882,343,756,411143,192,0,64,15,1031,5.5,27390,12840,14555,1460,1380,1370,1560,1765,1665,1605,1235,1850,1965,2230,1925,1655,1435,1220,1190,945,970,26195,8220,1150,315,340,70,820,780,65,420,170,4170,3305,8595,5520,371,1710828.495,0.348352702,0,0,0,49.68461912,158.8,1055,59,63.78,64.07,5,10,985,6.833333333,589,411143,7440,27.2,2950,30.1,0.821252036,12,2766,262,181,4600,27,112,18,81,711,292,97,111,276,4,0,5,12,37,171,50.85001538,2522.181818,55,260,1751,3100,6570,1660,520,420,1270,1100,3080
Wexford/Maryvale,3014,16717,945,735,422689,140,51800,67,18,1539,10.2,27020,13015,14005,1430,1320,1530,1740,1710,1620,1570,1060,1665,1940,2340,2235,1830,1465,990,860,900,790,25830,1255,1070,515,565,145,1705,400,65,280,155,4285,3465,7930,4615,396,2010846.173,0.47116816,50349,187050.8,1102.08,50.9202454,196.6,189,64,63.17,62.21,14,37,578,0.916666667,593,422689,3055,11.3,1335,13.4,0.690990962,0,7239,111,862,4777,60,307,23,132,1073,620,165,192,271,2,0,8,41,49,262,86.67723451,3539.25,182,607,4882,2670,5500,1620,330,470,1470,1220,3640
Clairlea-Birchmount,2688,15391,831,741,387912,84,48393,69,8,719,7.4,24775,12095,12670,1520,1305,1420,1585,1575,1730,1830,775,1780,1955,2220,1925,1550,1220,650,605,540,580,23025,1800,535,350,460,120,1360,740,75,230,60,4245,3170,5890,3125,289,1282846.088,0.418068747,445019,657051.4,285.32,50.92682927,281.3,2169,12,61.52,64.64,4,9,273,3.8,570,387912,3600,14.5,1480,16.9,0.708584471,2,1063,0,91,1386,38,285,24,116,1190,583,156,102,296,3,2,8,66,44,268,63.8376636,3601,129,465,4157,2680,5650,1720,270,440,1300,1120,3200
Oakridge,2967,1768,201,704,347446,54,30400,71,2,165,1.8,13505,6590,6915,1055,930,885,850,810,955,1035,435,1010,1125,1060,1035,725,555,340,250,205,265,12880,640,200,125,120,50,455,460,55,335,40,2880,1650,2760,1480,79,523379.9543,0.25345683,416,416,0,60.49886621,288.1,645,7,57.49,60.59,0,9,1464,10,869,347446,6100,45.2,2710,51.9,0.766588866,20,151,1994,697,815,55,169,13,91,498,376,97,50,188,4,0,4,14,30,76,19.11891564,3205,56,80,535,2570,5890,2060,140,420,780,1230,2150
Birchcliffe-Cliffside,1789,3228,345,747,522905,110,64400,71,8,1143,6,21860,10455,11390,1060,1045,1110,1370,1200,1115,1180,960,1415,1615,2105,2085,1745,1510,705,575,530,535,21080,740,105,220,245,120,345,60,70,75,20,3210,2565,6560,3315,347,2019988.264,0.616075255,0,0,0,39.26342072,318.1,425,23,59.42,67.73,1,16,870,13.42857143,283,522905,745,3.4,465,5.1,0.370008961,6,6880,0,2861,5949,26,208,4,105,771,411,132,70,276,2,0,9,20,39,193,64.45457811,2636.263158,104,114,1387,1790,3050,740,120,320,1120,770,2650
Cliffcrest,1342,2132,200,748,542218,70,0,54,16,928,7.1,15700,7645,8060,775,840,1035,1125,985,790,695,650,905,1175,1410,1410,1130,1020,485,525,395,355,15340,560,415,200,200,65,365,100,90,150,40,2655,2105,4575,2430,238,2461970.644,1.432132979,131557,133620.2,0,38.40682788,258.9,197,8,59.84,64.98,0,10,497,5.875,289,542218,2080,13.2,1100,18.9,0.50339459,9,320,0,0,1668,30,131,14,44,478,289,125,40,161,1,0,4,7,59,108,51.38712788,3779.625,69,97,491,1290,2660,810,170,220,760,600,1930
